# Transcripts with >= 50% unmappable exonic bases (k50 unique mappability)
# Input: k50.Unique.Mappability.bb
# GTF: gencode.v48.annotation.filtered_pc_withCDS.gtf
# Total transcripts scored: 111925
# Transcripts flagged for removal: 1922
# transcript_id	gene_id	frac_unmappable
ENST00000016946	ENSG00000015568	1.0000
ENST00000056217	ENSG00000050327	0.7215
ENST00000194097	ENSG00000249437	0.8757
ENST00000215794	ENSG00000184979	0.5468
ENST00000235347	ENSG00000187545	0.5803
ENST00000243314	ENSG00000123584	0.8920
ENST00000244174	ENSG00000124334	1.0000
ENST00000245564	ENSG00000125459	0.6115
ENST00000250823	ENSG00000129862	1.0000
ENST00000250825	ENSG00000129864	1.0000
ENST00000250831	ENSG00000226941	0.9507
ENST00000250838	ENSG00000182415	0.9500
ENST00000251303	ENSG00000132207	0.9700
ENST00000251595	ENSG00000188536	0.6302
ENST00000253262	ENSG00000130950	0.5510
ENST00000254072	ENSG00000187272	0.5209
ENST00000258459	ENSG00000196912	0.6139
ENST00000259199	ENSG00000136682	0.6021
ENST00000259216	ENSG00000136698	0.8403
ENST00000262365	ENSG00000145002	0.7002
ENST00000262640	ENSG00000124333	1.0000
ENST00000262940	ENSG00000105808	0.8924
ENST00000263012	ENSG00000103226	0.8977
ENST00000265097	ENSG00000051596	0.5634
ENST00000267814	ENSG00000140263	0.6646
ENST00000270162	ENSG00000142178	0.8921
ENST00000272395	ENSG00000144015	0.6574
ENST00000272454	ENSG00000015568	1.0000
ENST00000272462	ENSG00000144063	0.8938
ENST00000274400	ENSG00000145736	0.9233
ENST00000275569	ENSG00000146707	0.5504
ENST00000275988	ENSG00000186787	0.5174
ENST00000276974	ENSG00000154529	0.5824
ENST00000281882	ENSG00000152093	0.8369
ENST00000285805	ENSG00000155428	0.8681
ENST00000286448	ENSG00000124333	1.0000
ENST00000287667	ENSG00000103512	0.6164
ENST00000287721	ENSG00000229549	0.8398
ENST00000288040	ENSG00000157322	0.7942
ENST00000289473	ENSG00000158517	0.6953
ENST00000290438	ENSG00000159289	0.8992
ENST00000290765	ENSG00000133433	0.7852
ENST00000291552	ENSG00000160201	0.9185
ENST00000291554	ENSG00000160202	0.9140
ENST00000291576	ENSG00000241945	0.8174
ENST00000291577	ENSG00000160221	0.8876
ENST00000293406	ENSG00000161654	0.5494
ENST00000297186	ENSG00000169402	0.8734
ENST00000297498	ENSG00000164871	0.6428
ENST00000299847	ENSG00000166664	0.8329
ENST00000300283	ENSG00000237289	0.7403
ENST00000300576	ENSG00000167195	0.8431
ENST00000301408	ENSG00000189052	0.6385
ENST00000302247	ENSG00000171711	0.7418
ENST00000302558	ENSG00000169629	0.9055
ENST00000302805	ENSG00000168939	1.0000
ENST00000303037	ENSG00000168928	0.6161
ENST00000303766	ENSG00000169800	0.9715
ENST00000304270	ENSG00000171478	0.9494
ENST00000304355	ENSG00000171489	0.9090
ENST00000304465	ENSG00000171943	0.7915
ENST00000304514	ENSG00000153165	0.6581
ENST00000304790	ENSG00000169953	1.0000
ENST00000305321	ENSG00000169627	1.0000
ENST00000306609	ENSG00000172288	1.0000
ENST00000306682	ENSG00000170667	0.8586
ENST00000306882	ENSG00000172352	1.0000
ENST00000306901	ENSG00000175344	0.7739
ENST00000307393	ENSG00000172468	1.0000
ENST00000309608	ENSG00000145002	0.8206
ENST00000309834	ENSG00000172468	1.0000
ENST00000312403	ENSG00000256713	0.5781
ENST00000313431	ENSG00000178104	0.5678
ENST00000313835	ENSG00000117262	0.6389
ENST00000313871	ENSG00000197976	1.0000
ENST00000314099	ENSG00000236761	0.6620
ENST00000314151	ENSG00000157335	0.6846
ENST00000314163	ENSG00000188092	0.6204
ENST00000314265	ENSG00000176782	1.0000
ENST00000314357	ENSG00000176797	1.0000
ENST00000314367	ENSG00000172785	0.6437
ENST00000314980	ENSG00000178934	0.7295
ENST00000315150	ENSG00000172780	0.6177
ENST00000315357	ENSG00000187191	0.9954
ENST00000315453	ENSG00000180658	0.8811
ENST00000316169	ENSG00000177023	1.0000
ENST00000316731	ENSG00000146574	0.6979
ENST00000317103	ENSG00000177504	0.5816
ENST00000317633	ENSG00000172058	1.0000
ENST00000317900	ENSG00000164871	0.9702
ENST00000318050	ENSG00000176695	0.9070
ENST00000318124	ENSG00000177243	1.0000
ENST00000318157	ENSG00000177257	0.7478
ENST00000320254	ENSG00000176681	0.8613
ENST00000320701	ENSG00000168757	0.7084
ENST00000320868	ENSG00000206172	0.6291
ENST00000320901	ENSG00000176269	0.8956
ENST00000321489	ENSG00000157423	0.5142
ENST00000322209	ENSG00000177144	1.0000
ENST00000323770	ENSG00000179412	0.9430
ENST00000323819	ENSG00000178809	0.8437
ENST00000324290	ENSG00000170298	0.6267
ENST00000325558	ENSG00000229859	0.7967
ENST00000325974	ENSG00000122674	0.7608
ENST00000326153	ENSG00000178605	1.0000
ENST00000326625	ENSG00000178287	0.5888
ENST00000327271	ENSG00000186399	0.9053
ENST00000327582	ENSG00000198754	0.6150
ENST00000327792	ENSG00000233024	1.0000
ENST00000327809	ENSG00000185897	0.5317
ENST00000327857	ENSG00000239839	0.7004
ENST00000328085	ENSG00000183426	0.8515
ENST00000328435	ENSG00000184033	1.0000
ENST00000328570	ENSG00000182783	0.8685
ENST00000328795	ENSG00000183706	0.6532
ENST00000329240	ENSG00000185829	0.9392
ENST00000329516	ENSG00000183054	1.0000
ENST00000329753	ENSG00000237247	0.8496
ENST00000329758	ENSG00000168930	0.7573
ENST00000329862	ENSG00000189253	0.7350
ENST00000330181	ENSG00000181625	0.9700
ENST00000330280	ENSG00000145736	0.9360
