# Transcripts with >= 50% unmappable exonic bases (k100 unique mappability)
# Input: k100.Unique.Mappability.bb
# GTF: gencode.v48.annotation.filtered_pc_withCDS.gtf
# Total transcripts scored: 111925
# Transcripts flagged for removal: 1423
# transcript_id	gene_id	frac_unmappable
ENST00000016946	ENSG00000015568	0.9931
ENST00000056217	ENSG00000050327	0.5819
ENST00000194097	ENSG00000249437	0.8533
ENST00000243314	ENSG00000123584	0.7834
ENST00000244174	ENSG00000124334	1.0000
ENST00000250823	ENSG00000129862	1.0000
ENST00000250825	ENSG00000129864	1.0000
ENST00000250831	ENSG00000226941	0.8972
ENST00000250838	ENSG00000182415	0.8990
ENST00000251303	ENSG00000132207	0.9276
ENST00000259216	ENSG00000136698	0.7721
ENST00000262640	ENSG00000124333	1.0000
ENST00000262940	ENSG00000105808	0.7750
ENST00000263012	ENSG00000103226	0.7548
ENST00000270162	ENSG00000142178	0.7807
ENST00000272454	ENSG00000015568	0.9828
ENST00000272462	ENSG00000144063	0.8420
ENST00000274400	ENSG00000145736	0.8143
ENST00000281882	ENSG00000152093	0.7675
ENST00000285805	ENSG00000155428	0.7526
ENST00000286448	ENSG00000124333	1.0000
ENST00000287721	ENSG00000229549	0.7020
ENST00000289473	ENSG00000158517	0.5041
ENST00000290438	ENSG00000159289	0.7289
ENST00000290765	ENSG00000133433	0.6805
ENST00000291552	ENSG00000160201	0.7249
ENST00000291554	ENSG00000160202	0.8279
ENST00000291576	ENSG00000241945	0.6857
ENST00000291577	ENSG00000160221	0.7866
ENST00000297186	ENSG00000169402	0.7095
ENST00000297498	ENSG00000164871	0.5623
ENST00000299847	ENSG00000166664	0.7010
ENST00000300283	ENSG00000237289	0.6549
ENST00000300576	ENSG00000167195	0.6730
ENST00000302247	ENSG00000171711	0.5104
ENST00000302558	ENSG00000169629	0.7142
ENST00000302805	ENSG00000168939	1.0000
ENST00000303037	ENSG00000168928	0.5552
ENST00000303766	ENSG00000169800	0.9280
ENST00000304270	ENSG00000171478	0.8705
ENST00000304355	ENSG00000171489	0.7546
ENST00000304465	ENSG00000171943	0.5924
ENST00000304790	ENSG00000169953	1.0000
ENST00000305321	ENSG00000169627	1.0000
ENST00000306609	ENSG00000172288	1.0000
ENST00000306682	ENSG00000170667	0.7930
ENST00000306882	ENSG00000172352	1.0000
ENST00000306901	ENSG00000175344	0.6499
ENST00000307393	ENSG00000172468	1.0000
ENST00000309608	ENSG00000145002	0.6831
ENST00000309834	ENSG00000172468	1.0000
ENST00000313871	ENSG00000197976	1.0000
ENST00000314265	ENSG00000176782	0.9177
ENST00000314357	ENSG00000176797	1.0000
ENST00000314980	ENSG00000178934	0.7054
ENST00000315357	ENSG00000187191	0.9670
ENST00000315453	ENSG00000180658	0.7708
ENST00000316169	ENSG00000177023	0.9466
ENST00000317633	ENSG00000172058	1.0000
ENST00000317900	ENSG00000164871	0.9082
ENST00000318050	ENSG00000176695	0.8311
ENST00000318124	ENSG00000177243	1.0000
ENST00000318157	ENSG00000177257	0.5134
ENST00000320254	ENSG00000176681	0.5635
ENST00000320701	ENSG00000168757	0.5060
ENST00000320901	ENSG00000176269	0.6432
ENST00000322209	ENSG00000177144	1.0000
ENST00000323770	ENSG00000179412	0.8847
ENST00000323819	ENSG00000178809	0.7630
ENST00000325558	ENSG00000229859	0.7105
ENST00000326153	ENSG00000178605	1.0000
ENST00000326625	ENSG00000178287	0.5573
ENST00000327271	ENSG00000186399	0.8020
ENST00000327792	ENSG00000233024	1.0000
ENST00000328085	ENSG00000183426	0.6531
ENST00000328435	ENSG00000184033	1.0000
ENST00000328570	ENSG00000182783	0.7582
ENST00000329240	ENSG00000185829	0.8471
ENST00000329516	ENSG00000183054	0.9933
ENST00000329753	ENSG00000237247	0.6568
ENST00000329758	ENSG00000168930	0.5511
ENST00000330181	ENSG00000181625	0.9276
ENST00000330280	ENSG00000145736	0.7299
ENST00000330330	ENSG00000174876	0.9546
ENST00000330331	ENSG00000183054	0.9828
ENST00000330537	ENSG00000185164	0.6808
ENST00000330575	ENSG00000169629	0.7795
ENST00000330881	ENSG00000204510	0.5192
ENST00000330978	ENSG00000183336	1.0000
ENST00000331035	ENSG00000185291	1.0000
ENST00000331070	ENSG00000183753	1.0000
ENST00000331220	ENSG00000183305	1.0000
ENST00000331666	ENSG00000184110	0.9175
ENST00000332831	ENSG00000284662	1.0000
ENST00000333385	ENSG00000273520	1.0000
ENST00000333432	ENSG00000228049	0.5535
ENST00000333843	ENSG00000182315	0.7565
ENST00000334036	ENSG00000184911	0.8753
ENST00000334060	ENSG00000185960	1.0000
ENST00000334398	ENSG00000185973	0.6394
ENST00000334651	ENSG00000169084	1.0000
ENST00000334773	ENSG00000186562	0.6711
ENST00000334933	ENSG00000168781	0.5600
ENST00000335021	ENSG00000186572	0.9177
ENST00000335186	ENSG00000186579	0.8958
ENST00000335479	ENSG00000187082	0.8861
ENST00000335504	ENSG00000187243	1.0000
ENST00000335510	ENSG00000186599	0.8723
ENST00000336125	ENSG00000185829	0.7333
ENST00000336777	ENSG00000241476	0.9546
ENST00000337385	ENSG00000180509	0.5223
ENST00000337502	ENSG00000241476	0.9500
ENST00000337579	ENSG00000155026	0.7095
ENST00000338876	ENSG00000172468	1.0000
ENST00000338971	ENSG00000261052	0.9107
ENST00000340073	ENSG00000275976	1.0000
ENST00000341209	ENSG00000196550	0.6545
ENST00000341305	ENSG00000261509	1.0000
ENST00000341400	ENSG00000185864	0.7424
ENST00000341656	ENSG00000205238	0.9404
ENST00000342833	ENSG00000187559	0.5915
ENST00000344087	ENSG00000214967	1.0000
ENST00000344129	ENSG00000169551	0.5064
ENST00000344330	ENSG00000160223	0.9592
ENST00000344415	ENSG00000189152	1.0000
ENST00000344884	ENSG00000169953	1.0000
ENST00000345535	ENSG00000132207	0.8931
ENST00000348499	ENSG00000160221	0.7716
ENST00000350608	ENSG00000099977	0.6140
ENST00000351205	ENSG00000172062	0.9133
ENST00000351581	ENSG00000181625	0.8924
ENST00000352178	ENSG00000160200	0.9245
ENST00000354514	ENSG00000277858	1.0000
ENST00000354833	ENSG00000172058	0.8952
ENST00000355228	ENSG00000188610	0.5059
ENST00000355432	ENSG00000198223	1.0000
ENST00000355602	ENSG00000198129	1.0000
ENST00000355705	ENSG00000183281	0.7584
ENST00000355805	ENSG00000198223	1.0000
ENST00000355951	ENSG00000198420	0.6991
ENST00000356026	ENSG00000189409	0.6787
ENST00000356156	ENSG00000243716	1.0000
ENST00000357344	ENSG00000170379	0.5667
ENST00000357367	ENSG00000182330	0.5180
ENST00000357796	ENSG00000196993	0.8290
ENST00000358438	ENSG00000228049	0.7143
ENST00000358944	ENSG00000242389	0.8300
ENST00000359481	ENSG00000125551	0.7911
ENST00000359512	ENSG00000182484	1.0000
ENST00000359624	ENSG00000160200	0.9171
ENST00000359887	ENSG00000184033	1.0000
ENST00000360134	ENSG00000187243	1.0000
ENST00000360135	ENSG00000168781	0.5362
ENST00000360171	ENSG00000196873	0.9080
ENST00000360260	ENSG00000205457	1.0000
ENST00000360301	ENSG00000168781	0.5583
ENST00000360423	ENSG00000213648	0.9100
ENST00000361017	ENSG00000168925	0.5552
