# Genes with >= 50% unmappable exonic bases (k24 unique mappability)
# Input: k24.Unique.Mappability.bb
# GTF: gencode.v48.annotation.filtered_pc_withCDS.gtf
# Total genes scored: 20096
# Genes flagged for removal: 821
# gene_id	frac_unmappable
ENSG00000002586	1.0000
ENSG00000008128	0.6718
ENSG00000015568	1.0000
ENSG00000050327	0.7888
ENSG00000051596	0.6858
ENSG00000069764	0.5798
ENSG00000075886	0.5204
ENSG00000079974	0.6848
ENSG00000091073	0.5008
ENSG00000099290	0.6919
ENSG00000099715	0.6221
ENSG00000099977	0.7173
ENSG00000099984	0.9096
ENSG00000100031	0.6515
ENSG00000100121	0.6479
ENSG00000102076	0.6659
ENSG00000102128	0.5773
ENSG00000102290	0.5941
ENSG00000103226	0.9342
ENSG00000103512	0.8416
ENSG00000104818	0.8070
ENSG00000104827	0.8746
ENSG00000105808	0.9591
ENSG00000106526	0.5034
ENSG00000106714	0.6373
ENSG00000111752	0.7384
ENSG00000112031	0.7129
ENSG00000114547	0.5137
ENSG00000117262	0.8282
ENSG00000121335	0.6765
ENSG00000122512	0.5862
ENSG00000122674	0.9067
ENSG00000123584	0.9493
ENSG00000124333	1.0000
ENSG00000124334	1.0000
ENSG00000125459	0.7183
ENSG00000125551	0.9877
ENSG00000126251	0.7871
ENSG00000129862	1.0000
ENSG00000129864	1.0000
ENSG00000129873	0.9765
ENSG00000129968	0.6138
ENSG00000130538	0.9515
ENSG00000130950	0.7831
ENSG00000131721	0.9192
ENSG00000132207	0.9930
ENSG00000133433	0.9025
ENSG00000135976	0.6922
ENSG00000136206	0.6842
ENSG00000136488	0.7162
ENSG00000136682	0.7986
ENSG00000136698	0.9181
ENSG00000136720	0.5517
ENSG00000137267	0.6157
ENSG00000137285	0.5307
ENSG00000139675	0.6016
ENSG00000140263	0.7030
ENSG00000140478	0.9311
ENSG00000140839	0.8170
ENSG00000142178	0.9486
ENSG00000143702	0.5179
ENSG00000144010	0.8594
ENSG00000144015	0.8387
ENSG00000144063	0.8174
ENSG00000144134	0.6584
ENSG00000144199	0.5737
ENSG00000145002	0.8833
ENSG00000145425	0.5080
ENSG00000145736	0.9690
ENSG00000146223	0.5348
ENSG00000146574	0.8172
ENSG00000146707	0.7334
ENSG00000147996	0.8941
ENSG00000150337	0.8643
ENSG00000152076	0.5951
ENSG00000152093	0.9173
ENSG00000153107	0.6988
ENSG00000153165	0.8558
ENSG00000153684	0.9692
ENSG00000153779	0.5779
ENSG00000153989	0.5348
ENSG00000154529	0.8899
ENSG00000154545	1.0000
ENSG00000155026	0.8979
ENSG00000155428	0.9375
ENSG00000157322	0.8900
ENSG00000157326	0.6829
ENSG00000157335	0.8580
ENSG00000157423	0.5522
ENSG00000158427	0.8823
ENSG00000158517	0.8380
ENSG00000159289	0.9547
ENSG00000160200	0.9571
ENSG00000160201	0.9332
ENSG00000160202	0.9515
ENSG00000160221	0.8915
ENSG00000160223	0.9462
ENSG00000161654	0.6633
ENSG00000162825	0.9554
ENSG00000163040	0.5026
ENSG00000163046	0.6358
ENSG00000163807	0.6054
ENSG00000163864	0.5724
ENSG00000164871	0.8383
ENSG00000166160	1.0000
ENSG00000166351	0.6319
ENSG00000166664	0.9367
ENSG00000167195	0.9409
ENSG00000167393	1.0000
ENSG00000168255	0.9098
ENSG00000168757	0.8802
ENSG00000168781	0.6250
ENSG00000168928	0.6226
ENSG00000168930	0.8650
ENSG00000168939	0.9778
ENSG00000169059	0.9015
ENSG00000169084	1.0000
ENSG00000169093	1.0000
ENSG00000169100	1.0000
ENSG00000169203	0.9873
ENSG00000169246	0.9823
ENSG00000169402	0.8923
ENSG00000169551	0.6632
ENSG00000169612	0.5623
ENSG00000169627	1.0000
ENSG00000169629	0.9088
ENSG00000169800	0.9859
ENSG00000169953	1.0000
ENSG00000170074	0.7665
ENSG00000170092	0.7028
ENSG00000170122	0.6214
ENSG00000170160	0.8242
ENSG00000170298	0.7521
ENSG00000170379	0.6209
ENSG00000170667	0.8997
ENSG00000171116	0.9766
ENSG00000171314	0.8191
ENSG00000171478	0.9905
ENSG00000171489	0.9645
ENSG00000171711	0.8220
ENSG00000171916	0.8034
ENSG00000171928	0.7083
ENSG00000171931	0.6103
ENSG00000171943	0.8746
ENSG00000172058	0.9883
ENSG00000172062	0.9288
ENSG00000172236	0.8022
ENSG00000172288	1.0000
ENSG00000172352	1.0000
ENSG00000172468	1.0000
ENSG00000172650	0.7782
ENSG00000172661	0.7035
ENSG00000172780	0.6908
ENSG00000172785	0.7981
ENSG00000173110	0.5406
ENSG00000173213	0.8047
ENSG00000173678	0.9837
ENSG00000174428	0.9336
ENSG00000174501	0.5355
ENSG00000174827	0.6867
ENSG00000174876	1.0000
ENSG00000175265	0.6597
ENSG00000175344	0.7514
ENSG00000176269	0.9510
ENSG00000176386	0.5362
ENSG00000176679	0.5785
ENSG00000176681	0.9142
ENSG00000176695	0.9828
ENSG00000176782	1.0000
ENSG00000176797	1.0000
ENSG00000176809	0.7249
ENSG00000177023	1.0000
ENSG00000177144	1.0000
ENSG00000177151	0.8789
ENSG00000177243	1.0000
ENSG00000177257	0.8843
ENSG00000177504	0.8233
ENSG00000177693	0.9142
ENSG00000177910	0.7379
ENSG00000178104	0.6729
ENSG00000178115	0.9438
ENSG00000178287	0.8393
ENSG00000178440	0.5976
ENSG00000178605	1.0000
ENSG00000178809	0.9545
ENSG00000178934	0.8838
ENSG00000179172	0.6173
ENSG00000179304	1.0000
ENSG00000179412	0.9732
ENSG00000179938	0.9092
ENSG00000180509	0.8034
ENSG00000180658	0.9198
ENSG00000181315	0.7875
ENSG00000181404	0.8154
ENSG00000181625	0.9937
ENSG00000182162	1.0000
ENSG00000182315	0.8178
ENSG00000182330	0.8870
ENSG00000182378	1.0000
ENSG00000182415	0.9832
ENSG00000182484	1.0000
ENSG00000182552	0.6903
ENSG00000182583	0.7539
ENSG00000182783	0.9204
ENSG00000182974	0.7970
ENSG00000183054	0.9926
ENSG00000183206	0.6488
ENSG00000183246	0.9841
ENSG00000183281	0.9577
ENSG00000183305	1.0000
ENSG00000183310	0.7231
ENSG00000183336	1.0000
ENSG00000183426	0.9739
ENSG00000183474	0.9279
ENSG00000183598	0.6418
ENSG00000183629	0.9656
ENSG00000183632	1.0000
ENSG00000183706	0.8538
ENSG00000183753	1.0000
ENSG00000183793	0.8852
ENSG00000183795	1.0000
ENSG00000183889	0.9786
ENSG00000184033	1.0000
ENSG00000184110	0.9861
ENSG00000184206	0.9563
ENSG00000184227	0.5694
ENSG00000184388	0.6326
ENSG00000184492	0.6480
ENSG00000184616	0.8904
ENSG00000184659	0.8697
ENSG00000184911	1.0000
ENSG00000184923	0.9187
ENSG00000184945	0.7121
ENSG00000184979	0.5499
ENSG00000185040	0.7778
ENSG00000185164	0.9276
ENSG00000185176	0.8622
ENSG00000185177	0.5526
ENSG00000185291	1.0000
ENSG00000185304	0.9761
ENSG00000185775	0.7760
ENSG00000185829	0.9313
ENSG00000185864	0.9370
ENSG00000185894	1.0000
ENSG00000185897	0.7332
ENSG00000185960	1.0000
ENSG00000185973	0.6781
ENSG00000186063	0.7170
ENSG00000186086	0.7063
ENSG00000186092	0.9129
ENSG00000186146	0.5031
ENSG00000186281	0.6964
ENSG00000186288	0.6567
ENSG00000186399	0.9462
ENSG00000186523	0.8820
ENSG00000186562	0.9641
ENSG00000186572	1.0000
ENSG00000186579	1.0000
ENSG00000186599	1.0000
ENSG00000186645	0.9321
ENSG00000186787	0.5984
ENSG00000186788	0.7688
ENSG00000187082	1.0000
ENSG00000187191	1.0000
ENSG00000187243	1.0000
ENSG00000187272	0.7714
ENSG00000187537	0.9091
ENSG00000187545	0.8426
ENSG00000187559	0.9603
ENSG00000187607	0.5637
ENSG00000187627	0.9828
ENSG00000187630	0.6334
ENSG00000187701	0.5681
ENSG00000187733	1.0000
ENSG00000187754	0.5396
ENSG00000188076	0.7195
ENSG00000188092	0.8177
ENSG00000188120	1.0000
ENSG00000188152	0.8735
ENSG00000188155	0.5363
ENSG00000188199	0.9543
ENSG00000188219	0.8023
ENSG00000188234	0.9432
ENSG00000188536	0.6634
ENSG00000188610	0.8682
ENSG00000188611	0.5231
ENSG00000188626	0.8724
ENSG00000189052	0.8438
ENSG00000189064	0.9176
