# Genes with >= 50% unmappable exonic bases (k50 unique mappability)
# Input: k50.Unique.Mappability.bb
# GTF: gencode.v48.annotation.filtered_pc_withCDS.gtf
# Total genes scored: 20096
# Genes flagged for removal: 646
# gene_id	frac_unmappable
ENSG00000002586	1.0000
ENSG00000015568	1.0000
ENSG00000050327	0.7207
ENSG00000069764	0.5598
ENSG00000099977	0.6641
ENSG00000099984	0.7998
ENSG00000102076	0.5161
ENSG00000103226	0.8706
ENSG00000103512	0.6164
ENSG00000104827	0.5428
ENSG00000105808	0.8918
ENSG00000111752	0.5246
ENSG00000117262	0.6314
ENSG00000122674	0.7608
ENSG00000123584	0.8920
ENSG00000124333	1.0000
ENSG00000124334	1.0000
ENSG00000125459	0.5427
ENSG00000125551	0.9479
ENSG00000126251	0.5829
ENSG00000129862	1.0000
ENSG00000129864	1.0000
ENSG00000129873	0.9500
ENSG00000130538	0.8449
ENSG00000130950	0.5510
ENSG00000131721	0.8051
ENSG00000132207	0.9701
ENSG00000133433	0.7852
ENSG00000136682	0.6014
ENSG00000136698	0.8403
ENSG00000137267	0.5520
ENSG00000140263	0.5058
ENSG00000140478	0.8612
ENSG00000140839	0.5976
ENSG00000142178	0.8934
ENSG00000144010	0.6891
ENSG00000144015	0.6574
ENSG00000144063	0.7728
ENSG00000145002	0.7299
ENSG00000145736	0.9278
ENSG00000146574	0.5881
ENSG00000147996	0.7191
ENSG00000150337	0.5966
ENSG00000152093	0.8394
ENSG00000153165	0.6518
ENSG00000153684	0.9152
ENSG00000154529	0.7511
ENSG00000154545	1.0000
ENSG00000155026	0.7916
ENSG00000155428	0.8790
ENSG00000157322	0.7789
ENSG00000157335	0.6847
ENSG00000158427	0.8905
ENSG00000158517	0.5838
ENSG00000159289	0.8992
ENSG00000160200	0.9095
ENSG00000160201	0.8563
ENSG00000160202	0.8916
ENSG00000160221	0.7971
ENSG00000160223	0.8666
ENSG00000162825	0.9025
ENSG00000164871	0.7329
ENSG00000166160	1.0000
ENSG00000166664	0.8371
ENSG00000167195	0.8431
ENSG00000167393	1.0000
ENSG00000168255	0.7718
ENSG00000168757	0.7111
ENSG00000168781	0.6034
ENSG00000168928	0.6293
ENSG00000168930	0.7573
ENSG00000168939	0.9745
ENSG00000169059	0.6392
ENSG00000169084	1.0000
ENSG00000169093	1.0000
ENSG00000169100	1.0000
ENSG00000169203	0.9746
ENSG00000169246	0.9622
ENSG00000169402	0.7897
ENSG00000169551	0.5376
ENSG00000169627	1.0000
ENSG00000169629	0.8398
ENSG00000169800	0.9724
ENSG00000169953	1.0000
ENSG00000170074	0.6020
ENSG00000170160	0.5823
ENSG00000170298	0.5257
ENSG00000170667	0.8057
ENSG00000171116	0.9501
ENSG00000171314	0.6454
ENSG00000171478	0.9494
ENSG00000171489	0.9113
ENSG00000171711	0.7418
ENSG00000171943	0.6895
ENSG00000172058	0.9573
ENSG00000172062	0.8442
ENSG00000172236	0.5701
ENSG00000172288	1.0000
ENSG00000172352	1.0000
ENSG00000172468	1.0000
ENSG00000172650	0.5227
ENSG00000172780	0.5470
ENSG00000172785	0.5872
ENSG00000173678	0.9595
ENSG00000174428	0.8294
ENSG00000174827	0.5341
ENSG00000174876	0.9810
ENSG00000175265	0.5068
ENSG00000175344	0.6714
ENSG00000176269	0.8956
ENSG00000176681	0.7704
ENSG00000176695	0.9584
ENSG00000176782	1.0000
ENSG00000176797	1.0000
ENSG00000177023	1.0000
ENSG00000177144	1.0000
ENSG00000177151	0.7700
ENSG00000177243	1.0000
ENSG00000177257	0.7478
ENSG00000177504	0.5816
ENSG00000177693	0.8172
ENSG00000178115	0.8738
ENSG00000178287	0.7339
ENSG00000178605	1.0000
ENSG00000178809	0.8690
ENSG00000178934	0.7295
ENSG00000179304	1.0000
ENSG00000179412	0.9430
ENSG00000179938	0.7801
ENSG00000180509	0.7170
ENSG00000180658	0.8811
ENSG00000181315	0.6570
ENSG00000181404	0.6238
ENSG00000181625	0.9731
ENSG00000182162	1.0000
ENSG00000182315	0.7298
ENSG00000182330	0.7567
ENSG00000182378	1.0000
ENSG00000182415	0.9500
ENSG00000182484	1.0000
ENSG00000182583	0.5646
ENSG00000182783	0.8597
ENSG00000182974	0.6504
ENSG00000183054	0.9892
ENSG00000183246	0.9662
ENSG00000183281	0.8898
ENSG00000183305	1.0000
ENSG00000183336	1.0000
ENSG00000183426	0.8728
ENSG00000183474	0.7847
ENSG00000183629	0.9053
ENSG00000183632	1.0000
ENSG00000183706	0.6532
ENSG00000183753	1.0000
ENSG00000183793	0.7586
ENSG00000183795	1.0000
ENSG00000183889	0.9545
ENSG00000184033	1.0000
ENSG00000184110	0.9582
ENSG00000184206	0.8715
ENSG00000184388	0.6187
ENSG00000184616	0.7435
ENSG00000184659	0.7034
ENSG00000184911	1.0000
ENSG00000184923	0.8081
ENSG00000184945	0.5541
ENSG00000185040	0.5643
ENSG00000185164	0.8414
ENSG00000185176	0.7796
ENSG00000185291	1.0000
ENSG00000185304	0.9402
ENSG00000185775	0.5686
ENSG00000185829	0.8050
ENSG00000185864	0.8761
ENSG00000185894	1.0000
ENSG00000185897	0.5465
ENSG00000185960	1.0000
ENSG00000185973	0.6664
ENSG00000186086	0.5910
ENSG00000186092	0.8113
ENSG00000186281	0.5592
ENSG00000186288	0.6321
ENSG00000186399	0.9053
ENSG00000186523	0.7070
ENSG00000186562	0.8628
ENSG00000186572	1.0000
ENSG00000186579	1.0000
ENSG00000186599	1.0000
ENSG00000186645	0.8228
ENSG00000186788	0.7109
ENSG00000187082	1.0000
ENSG00000187191	0.9957
ENSG00000187243	1.0000
ENSG00000187272	0.5209
ENSG00000187537	0.7716
ENSG00000187545	0.5803
ENSG00000187559	0.9134
ENSG00000187627	0.9258
ENSG00000187733	0.9889
ENSG00000188092	0.6094
ENSG00000188120	1.0000
ENSG00000188152	0.7016
ENSG00000188199	0.8923
ENSG00000188219	0.5576
ENSG00000188234	0.8055
ENSG00000188610	0.6967
ENSG00000188626	0.6982
ENSG00000189052	0.6385
ENSG00000189064	0.7384
ENSG00000189090	0.8920
ENSG00000189152	1.0000
ENSG00000189253	0.7350
ENSG00000189357	0.8442
ENSG00000189409	0.8245
ENSG00000196240	0.6802
ENSG00000196275	0.7607
ENSG00000196369	0.8758
ENSG00000196406	0.5000
ENSG00000196427	0.6789
ENSG00000196433	1.0000
ENSG00000196550	0.8332
ENSG00000196589	0.7111
ENSG00000196604	0.5653
